profile,nr_reactions,nr_comments,nr_shares,comments/post,post_interaction_rate,engagement,nr_likes,post_id,followers,post_type
wild adventures theme park,16,2,2,2,"1,09E+12",1090000000000.0,13,84679583132_770120045161180,66,1
fun spot america,38,1,2,1,"4,17E+11",417000000000.0,33,184020466977_767286052104076,100000,3
fun spot america,23,2,3,2,"2,85E+11",285000000000.0,21,184020466977_767267948772553,100000,2
disneyland paris,646,52,12,56,"1,36E+11",136000000000.0,478,652389081615295_775974521237956,5200000,1
silverwood theme park,17,2,0,2,"4,96E+11",496000000000.0,16,762701550509617_678920137770716,381000,2
belmont park,51,1,11,1,0.0012457732692649937,0.0012457732692649,40,83231004302_767257582104974,51000,1
seaworld orlando,729,25,97,28,0.0035718617597483805,0.0035718617597483,459,1782696285170057_377301148304978,267000,1
canada's wonderland,102,9,14,13,"1,51E+12",1510000000000.0,88,95469803923_775191387982844,837016,2
seaworld san diego,242,5,15,5,0.002332185043750723,0.0023321850437507,182,426111667814056_689815569963071,127000,2
lake compounce,60,3,5,3,"4,14E+12",4140000000000.0,46,80018245271_791501566346367,166000,1
happy hollow park & zoo,9,0,0,0,"2,28E+12",2280000000000.0,9,132942835175_754037053419799,39000,1
wild adventures theme park,30,4,3,4,"2,01E+12",2010000000000.0,25,84679583132_769945921845259,66,1
universal orlando resort (us),1234,46,90,81,"4,56E+11",456000000000.0,966,90867402851_775492054612169,3100000,1
busch gardens tampa bay,332,15,38,20,"5,77E+11",577000000000.0,266,68181225238_755682239923749,692000,2
hersheypark,52,2,0,2,"6,28E+10",62800000000.0,44,16994689356_763305079162692,854000,2
gilroy gardens,36,2,1,2,"4,77E+11",477000000000.0,26,122943674395623_763208052510844,83000,1
sea life park,16,1,2,1,"7,17E+10",71700000000.0,14,105015532870022_697162422516955,26000,1
legoland california,42,4,1,5,"7,35E+10",73500000000.0,37,143631389003522_766432308856366,650000,2
wild adventures theme park,10,1,0,1,"5,98E+10",59800000000.0,9,84679583132_769618858544632,66,1
elitch gardens,57,12,5,14,"5,13E+11",513000000000.0,41,62242807350_751896490309978,145000,1
six flags great adventure,107,20,4,30,"1,25E+10",12500000000.0,80,69421318512_749769017185768,1100000,1
pacific park,17,0,2,0,"3,39E+12",3390000000000.0,14,61119627598_749717757203972,55000,1
happy hollow park & zoo,15,0,0,0,"3,80E+12",3800000000000.0,10,132942835175_753673856789452,39000,1
busch gardens williamsburg,131,10,8,17,"2,19E+12",2190000000000.0,112,18543728314_759061129595858,690000,1
santa cruz beach boardwalk,580,12,48,12,0.0015418974493643287,0.0015418974493643,398,40035168377_800734422097594,400000,1
kings island,208,13,25,22,"3,72E+12",3720000000000.0,171,155893938367_766750878825936,692000,1
seaworld,218,26,29,26,"1,48E+12",1480000000000.0,160,63617892564_760821672751754,1700000,2
six flags discovery kingdom,52,4,3,7,"2,33E+12",2330000000000.0,42,59636827742_758865759609228,275000,1
enchanted island amusement park,44,5,5,7,0.003960676143998868,0.0039606761439988,36,120659204674179_688837163331835,15000,1
universal orlando resort (us),1073,25,87,28,"3,86E+12",3860000000000.0,866,90867402851_774887224672652,3100000,1
quassy amusement & waterpark,11,0,0,0,"2,84E+12",2840000000000.0,11,38328744398_763788015781019,39000,1
wild adventures theme park,65,14,15,27,"5,81E+11",581000000000.0,58,84679583132_769514025221782,66,1
sesame place san diego,40,1,9,1,0.0018957345971563982,0.0018957345971563,33,116946949686332_903936558408725,29000,1
walt disney animation studios,2036,75,214,115,"1,85E+12",1850000000000.0,1355,23245476854_932879154875608,12000000,1
santa cruz beach boardwalk,414,29,2,35,0.0010865558588489255,0.0010865558588489,364,40035168377_794345626069807,400000,3
busch gardens tampa bay,181,7,12,7,"2,96E+11",296000000000.0,155,68181225238_755267833298523,692000,1
kings island,214,20,29,26,"3,93E+12",3930000000000.0,178,155893938367_766664565501234,692000,1
knott's berry farm,481,26,25,48,"8,66E+11",866000000000.0,383,10286130875_758116996366704,637000,1
walt disney animation studios,3635,70,369,96,"3,22E+11",322000000000.0,2531,23245476854_932873314876192,12000000,1
west edmonton mall,35,3,12,5,"2,82E+11",282000000000.0,33,207298682218_760241776150257,189464,1
cedar point,145,25,16,27,"1,20E+12",1200000000000.0,109,10625691462_766447808847810,1500000,1
seaworld san diego,72,0,17,0,"7,92E+11",792000000000.0,46,426111667814056_689297423348219,127000,2
lake compounce,69,5,11,8,"5,36E+11",536000000000.0,55,80018245271_791560976340426,166000,1
waterville usa,1,0,0,0,"1,74E+10",17400000000.0,1,138319355040_657844329898248,58000,1
wild adventures theme park,10,0,0,0,"5,43E+10",54300000000.0,9,84679583132_769425828563935,66,2
seaworld orlando,80,2,12,2,"3,93E+12",3930000000000.0,69,1782696285170057_376680511700375,267000,1
fun spot america,25,3,4,6,"3,56E+09",3560000000.0,22,184020466977_766523955513619,100000,3
busch gardens tampa bay,1149,57,95,111,0.0020054316858206358,0.0020054316858206,942,68181225238_755138906644749,692000,1
happy hollow park & zoo,9,0,1,0,"2,53E+10",25300000000.0,6,132942835175_753420093481495,39000,1
playland,2,1,0,1,"9,28E+09",9280000000.0,2,170865866397863_686166210307816,23000,1
canada's wonderland,41,9,4,10,"6,44E+10",64400000000.0,38,95469803923_774444481390868,837016,1
disneyland paris,327,56,21,59,"7,77E+10",77700000000.0,236,652389081615295_775125487989526,5200000,3
sea life park,9,0,0,0,"3,39E+11",339000000000.0,7,105015532870022_696607742572423,26000,1
wild adventures theme park,7,0,0,0,"3,80E+11",380000000000.0,6,84679583132_769072775265907,66,2
legoland california,50,2,2,6,"8,88E+10",88800000000.0,48,143631389003522_765838135582450,650000,1
six flags great adventure,126,5,3,6,"1,20E+12",1200000000000.0,106,69421318512_749241383905198,1100000,1
pacific park,11,0,1,0,"2,14E+12",2140000000000.0,9,61119627598_749208403921574,55000,1
